dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_0.png",24.395138,0.48806092,0.7254435,0.63445795,0.14126271,,0.22279496,0.20559356,0.4377397,,,25.417898,19.178772,0.91540843
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_1.png",23.824537,0.46435484,0.7074419,0.6099553,0.14751711,,0.23172402,0.21387406,0.41426045,,,27.38747,19.437317,0.8738845
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_2.png",24.43497,0.49526745,0.73260105,0.6401209,0.13712014,,0.21644256,0.19967006,0.4498353,,,25.145943,20.248352,0.940165
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_3.png",25.203142,0.51521844,0.7634925,0.68962705,0.13666728,,0.20302777,0.18652354,0.4837226,,,23.174524,21.68866,0.7847506
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_4.png",23.82153,0.44237489,0.71152025,0.6431635,0.1179963,,0.2195878,0.20482564,0.42916864,,,26.488583,28.683167,0.861053
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_5.png",23.340862,0.43180612,0.7183683,0.6615977,0.116092935,,0.21263222,0.2005843,0.41741568,,,29.027023,37.025085,0.60933167
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_6.png",25.499678,0.5006119,0.77252096,0.7125264,0.12893954,,0.1887942,0.17518738,0.49586108,,,22.729887,21.349243,0.7760122
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_7.png",24.037334,0.4609098,0.7368247,0.67817676,0.12597035,,0.21995458,0.20219348,0.44424963,,,26.179344,29.740295,0.7362697
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_8.png",24.467606,0.46486813,0.7344682,0.6659766,0.11810057,,0.19548002,0.18331245,0.48331508,,,25.177332,26.85321,0.72444725
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_9.png",22.780067,0.3946125,0.713254,0.66321486,0.110818386,,0.2263457,0.20859097,0.41202775,,,31.053335,37.006042,0.85835034
