dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA,PSNR_norm,GMSD_norm,MSGMSD_norm,BRISQUE_norm
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_0.png",23.727655,0.5563688,0.78190243,0.70194,0.15303327,0.8591485182112528,0.19582658,0.18026432,0.549905,0.9716155170633723,0.5432356453738556,20.738972,17.637878,0.84878343,0.2965957,0.5595045,0.51504093,0.36514682
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_1.png",22.164211,0.53918284,0.77273244,0.6949107,0.16014452,0.8622468548895769,0.20079534,0.18480939,0.5334915,0.9589523035154832,0.5257612456504454,21.82907,16.573303,0.8510382,0.27705264,0.57370096,0.5280268,0.33832583
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_2.png",22.732964,0.5636894,0.78964233,0.707807,0.146635,0.8631341023209227,0.18628235,0.17194775,0.5688177,0.9623318462793603,0.5505738953777257,20.093306,18.264343,0.8996074,0.28416204,0.5322353,0.49127927,0.38093004
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_3.png",20.535221,0.5818903,0.81670487,0.75013953,0.14332123,0.8429748725097403,0.16746192,0.1550056,0.6188854,0.9316273437041418,0.5730312813272794,17.866846,20.543762,0.6943504,0.25669026,0.47846264,0.44287315,0.43835795
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_4.png",26.103016,0.5273609,0.77765685,0.713351,0.13814889,0.8858080073276265,0.19160903,0.1778478,0.55637336,0.99103528751829,0.5154258761870901,20.511375,26.868347,0.80737877,0.3262877,0.54745436,0.5081366,0.5977002
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_5.png",17.927305,0.49871692,0.7811991,0.72274935,0.12072757,0.8486203321374926,0.17312418,0.16387242,0.55326813,0.8827423197772094,0.4881373529835674,21.720139,32.22931,0.5893582,0.22409132,0.49464053,0.4682069,0.7327648
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_6.png",24.780272,0.57705,0.82509476,0.77347827,0.14245635,0.8394777581234893,0.15929265,0.14942811,0.62284756,0.9784827354552436,0.5672140421828287,17.951029,18.13617,0.6359474,0.3097534,0.45512187,0.4269375,0.37770084
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_7.png",22.461311,0.5231639,0.78403455,0.7234539,0.13364457,0.8157808065276315,0.19227953,0.17683297,0.5484402,0.9570837585537315,0.5118807136981388,21.303795,27.635193,0.66846824,0.2807664,0.5493701,0.5052371,0.6170202
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_8.png",21.935219,0.5477603,0.7980075,0.73083043,0.12656234,0.817040337241411,0.159831,0.15113345,0.6146234,0.9586113939438684,0.5378206091979638,19.081799,25.255066,0.555953,0.27419025,0.45666,0.43180987,0.557055
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_9.png",23.540916,0.48974663,0.7850622,0.7393959,0.12563132,0.8139079400234677,0.19324066,0.17779914,0.54185,0.9801527302798172,0.47829920285553873,23.28551,29.040955,0.82137245,0.29426146,0.55211616,0.5079975,0.6524371
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_10.png",20.876423,0.5354902,0.80502546,0.7554608,0.12819242,0.8251362081106389,0.17113617,0.15907556,0.5912316,0.9338742297332634,0.5245469972588135,19.884459,23.407043,0.69719756,0.26095527,0.4889605,0.4545016,0.5104957
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_11.png",21.574879,0.5667441,0.80934,0.7466187,0.15913476,0.8748733753102838,0.19874415,0.1808592,0.5612824,0.9506921402118127,0.5548824329070916,21.408638,27.93695,0.63716614,0.26968598,0.56784046,0.51674056,0.6246227
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_12.png",22.492516,0.5677655,0.79636675,0.7225996,0.11054913,0.8219745895353339,0.18430161,0.1721901,0.53679496,0.9675312501661247,0.5565577357452132,22.351294,21.74823,0.6982095,0.28115645,0.52657604,0.49197173,0.46870345
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_13.png",19.521967,0.5410532,0.78867,0.71284914,0.120601594,0.8211818484658178,0.20179012,0.186827,0.5419792,0.925643500695044,0.5315692913219303,23.488081,37.55719,0.757124,0.24402459,0.5765432,0.5337914,0.86699593
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_14.png",25.310112,0.5481195,0.8023968,0.7368363,0.10473607,0.8008839447200918,0.17106432,0.16185421,0.55329853,0.9910905642533334,0.5362844408719454,22.104109,27.394958,0.76783746,0.3163764,0.4887552,0.4624406,0.6109677
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_15.png",20.921993,0.52489984,0.78390324,0.7006022,0.08435406,0.7872115375262685,0.15606113,0.1471787,0.57227695,0.9479051552911649,0.5179148232985724,19.292498,26.035706,0.7130571,0.26152492,0.44588894,0.42051056,0.5767225
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_16.png",22.146303,0.48866096,0.7422752,0.6619309,0.14402036,0.8632663547250398,0.2255559,0.20778814,0.4792091,0.9623173820985829,0.4763198206937673,25.658981,22.11438,0.7477786,0.2768288,0.6444454,0.5936804,0.47792825
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_17.png",22.102123,0.54490376,0.7951689,0.7330367,0.15695743,0.8371772202823615,0.20142028,0.18333273,0.5513934,0.9648230999395827,0.5329895230489028,21.346516,36.155212,0.64987916,0.27627653,0.57548654,0.5238078,0.8316744
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_18.png",21.449938,0.51664424,0.7694019,0.70932895,0.1384708,0.8524207772924317,0.21671523,0.19905336,0.5132584,0.9644219368073987,0.5054707891788317,25.038351,29.747437,0.8162828,0.26812422,0.6191864,0.5687239,0.67023623
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_19.png",24.503176,0.5700478,0.80204666,0.73527914,0.14998285,0.8542632403071584,0.19306147,0.17744842,0.5729835,0.983831196859408,0.5577888041273773,20.996042,31.351013,0.71963173,0.3062897,0.5516042,0.5069955,0.7106369
MSFD,"ms,ss32_BP_w700",ms_BP_w700,700,"results/MSFD/images_used/ms,ss32_BP_w700_w700_slice_20.png",20.394875,0.536751,0.7838356,0.7188044,0.15421389,0.8642061468726743,0.20747994,0.18958484,0.5432478,0.943943044017209,0.5248912549450522,22.479658,29.94867,0.8458348,0.25493592,0.59279984,0.541671,0.67530614
