dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_0.png",27.971498,0.90115345,0.90654135,0.811544,0.24909754,,0.13313356,0.13362628,0.49054897,,,11.084575,33.90863,0.16779745
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_1.png",28.498753,0.93915415,0.8930891,0.7686412,0.29013905,,0.11135435,0.11123286,0.50641155,,,9.945834,49.735535,0.31652442
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_2.png",25.622454,0.90193534,0.90208524,0.7694902,0.22207965,,0.13819496,0.14272788,0.42735508,,,11.837259,42.470642,0.20823237
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_3.png",25.617285,0.9134679,0.925253,0.8124,0.22066793,,0.12448231,0.1281451,0.4327116,,,10.513989,42.811707,0.3795904
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_4.png",27.737774,0.9245233,0.92168313,0.8223659,0.25035554,,0.10877653,0.109944426,0.49675322,,,11.025404,44.60077,0.33821395
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_5.png",27.730696,0.93582165,0.9497888,0.87303627,0.32571706,,0.10756877,0.10792634,0.5255321,,,12.403846,44.172302,0.4088017
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_6.png",24.592802,0.8945618,0.8645868,0.69356006,0.1777875,,0.13137504,0.13421467,0.41144732,,,11.051939,39.955994,0.32427156
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_7.png",24.948975,0.87928575,0.87843305,0.73331887,0.18539971,,0.14998165,0.15471753,0.3923503,,,9.353976,34.078796,0.44605684
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_8.png",25.58759,0.8899473,0.8790081,0.7833297,0.24191421,,0.1413404,0.14281489,0.44521785,,,12.359234,38.656677,0.46643758
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_9.png",26.60662,0.91648537,0.9091322,0.78198725,0.22550426,,0.1349909,0.13736862,0.45132327,,,10.152741,33.907166,0.25428268
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_10.png",26.92075,0.9292214,0.9446683,0.8269661,0.26659638,,0.10599064,0.108740166,0.42857563,,,12.430643,59.35614,0.22119358
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_11.png",25.483696,0.899818,0.85980403,0.7752018,0.21744506,,0.13475874,0.14013013,0.43761826,,,11.363665,43.65619,0.36729777
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_12.png",25.978718,0.8966505,0.89719844,0.8083162,0.2843731,,0.1395586,0.14053792,0.47427922,,,12.345809,41.980896,0.48178953
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_13.png",26.526512,0.9140822,0.87401557,0.7738809,0.22042288,,0.1281671,0.12873794,0.45691556,,,9.512627,47.06537,0.3690068
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_14.png",26.094517,0.9037818,0.86822873,0.74843746,0.23073246,,0.13299192,0.1357681,0.44825026,,,10.794969,41.001648,0.3421726
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_15.png",27.342209,0.924278,0.9074998,0.6966297,0.23748796,,0.122568496,0.12604861,0.4480833,,,9.976081,53.9787,0.18584833
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_16.png",24.543646,0.8928661,0.8183025,0.7150166,0.22904786,,0.13742223,0.1424362,0.39118773,,,13.700421,45.05414,0.23039362
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_17.png",25.239191,0.9026804,0.8531638,0.72049683,0.21361989,,0.13783887,0.14216603,0.42036977,,,10.80582,39.912537,0.2363914
