dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA,PSNR_norm,GMSD_norm,MSGMSD_norm,BRISQUE_norm
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_0.png",14.292294,0.8256217,0.91361815,0.80807805,0.23130144,0.7415423617005904,0.11032528,0.11320508,0.61121976,0.7801576158306914,0.8192628779242965,7.99462,45.876404,0.16566454,0.17865367,0.31521508,0.32344308,0.124618
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_1.png",13.149265,0.70178026,0.87195265,0.74763864,0.2452741,0.7416174966934969,0.11397355,0.121984586,0.53751826,0.5449161667511728,0.698849042808779,7.819125,59.12738,0.2017834,0.16436581,0.3256387,0.3485274,0.5372189
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_2.png",20.371014,0.9037362,0.9100924,0.7584474,0.22041436,0.7720118369838463,0.12902948,0.1323257,0.5367954,0.9453699527376971,0.8970587548173423,8.6922655,51.13922,0.13389446,0.25463766,0.36865568,0.37807342,0.28848845
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_3.png",19.820593,0.89458174,0.91963273,0.80365473,0.21136351,0.7654680382264286,0.11709399,0.12179037,0.49723932,0.9171608083254948,0.8880200751027416,8.434986,52.789124,0.25381044,0.2477574,0.33455426,0.34797248,0.3398621
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_4.png",16.226322,0.8495852,0.91385865,0.8107253,0.23114811,0.7313133848682859,0.098856136,0.10332703,0.5652965,0.8111261726203107,0.8444962456536507,8.4476595,54.85443,0.29823503,0.20282903,0.28244612,0.29522008,0.4041704
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_5.png",14.866615,0.8779963,0.95799303,0.8925184,0.29060757,0.7944631737873584,0.097703196,0.095742606,0.64669293,0.8368934423116722,0.8736172771016719,7.902182,60.435974,0.3463627,0.1858327,0.279152,0.2735503,0.57796514
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_6.png",15.716394,0.87575936,0.8708028,0.6447126,0.17548974,0.6964000260209854,0.12748651,0.130863,0.5230634,0.8863880488817405,0.8704391099807285,6.853264,57.73224,0.30191714,0.19645493,0.36424717,0.37389427,0.49377784
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_7.png",15.954668,0.84594506,0.88295555,0.72615135,0.17358688,0.7281143925389194,0.14108875,0.14664024,0.48533288,0.8564564887741543,0.8364936500446225,6.596788,45.05902,0.2652685,0.19943336,0.40311074,0.41897213,0.09916683
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_8.png",16.553358,0.8769208,0.8980575,0.7779301,0.23075667,0.740806526807873,0.12722322,0.12935707,0.54923975,0.8927203466719755,0.8691957347907815,8.526274,49.276917,0.34520808,0.20691697,0.36349493,0.36959162,0.23050112
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_9.png",13.921852,0.8338689,0.91205287,0.78026426,0.20345472,0.7287053706450282,0.11994047,0.12564586,0.56837964,0.7810560058026061,0.8283848570987099,6.838417,50.11554,0.2533783,0.17402315,0.34268704,0.35898817,0.25661364
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_10.png",18.91281,0.878453,0.9383092,0.8196744,0.24813569,0.8232244639461552,0.11321659,0.112575956,0.49700624,0.8667701350147575,0.8752442332033636,10.45267,65.08478,0.14158946,0.23641011,0.32347596,0.3216456,0.72271675
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_11.png",18.149963,0.8631142,0.8513404,0.7567987,0.20826444,0.7648035951808365,0.13232358,0.13908294,0.48718047,0.8709727266064006,0.8561237281204218,9.009422,52.32025,0.26028737,0.22687455,0.37806737,0.39737985,0.32526264
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_12.png",22.4193,0.92310447,0.9185283,0.8166114,0.29713514,0.821140519463672,0.1221386,0.12264564,0.6003164,0.9743217753741233,0.9146369404782115,8.7297735,50.57196,0.25202,0.28024125,0.34896743,0.35041612,0.27082542
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_13.png",19.86819,0.89873636,0.8663073,0.75620854,0.21098258,0.6988499370642062,0.123243794,0.12642813,0.52952397,0.9204212598724978,0.8922455014847106,7.606835,56.824036,0.23401189,0.24835238,0.35212514,0.36122322,0.46549878
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_14.png",16.253984,0.81420636,0.8598648,0.7332979,0.21115175,0.7576683242205919,0.12849079,0.13406365,0.49649835,0.7750919733353148,0.8083659898839193,8.718933,48.635437,0.25174022,0.2031748,0.36711654,0.383039,0.21052712
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_15.png",15.537365,0.7836621,0.8934727,0.6768489,0.21615551,0.7017821284638806,0.117436066,0.12375641,0.5136884,0.6927033294585722,0.778235141179803,8.250086,60.689392,0.17084087,0.19421706,0.33553162,0.35358974,0.5858559
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_16.png",16.340267,0.88141257,0.82723916,0.7035271,0.22189021,0.7540009836503463,0.13278095,0.13729174,0.5042897,0.895358538007956,0.8774033250444194,8.522513,53.16156,0.27061555,0.20425335,0.37937418,0.39226213,0.35145882
