dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_0.png,30.359802,0.854154,0.8869018,0.7745479,0.30786508,,0.08031587,0.08991696,0.5695961,,,9.249113,56.501404,0.3681774
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_1.png,31.895355,0.87777025,0.91047513,0.8055099,0.24080911,,0.06519151,0.06977208,0.6273741,,,9.019563,41.95569,0.16727898
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_2.png,31.043547,0.86964625,0.89567935,0.79958063,0.25597665,,0.06656467,0.07221411,0.5976053,,,8.821221,40.132202,0.108340316
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_3.png,31.239092,0.7901142,0.8987571,0.8291291,0.20547672,,0.07026184,0.07770111,0.6793237,,,11.534457,65.592896,0.4535379
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_4.png,30.242765,0.79335207,0.8700394,0.7658846,0.24466886,,0.08350022,0.091434814,0.5770829,,,11.733191,46.88275,0.3343521
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_5.png,28.13469,0.7985227,0.8370926,0.76435786,0.23769568,,0.10467231,0.11549153,0.50012046,,,11.413045,43.522156,0.080523945
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_6.png,27.751808,0.7960261,0.828481,0.74055135,0.2645698,,0.10891155,0.12038085,0.4943229,,,11.85616,41.56378,0.17287695
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_7.png,28.949442,0.8338994,0.85953283,0.7653461,0.27797452,,0.09141718,0.10185357,0.54057163,,,11.334661,45.800354,0.09810245
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_8.png,27.804874,0.79855454,0.8206764,0.71780425,0.27105063,,0.11718263,0.12782069,0.47478163,,,11.436098,42.84131,0.08946113
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_9.png,28.490713,0.820952,0.8549948,0.75087005,0.26012737,,0.10708454,0.11663511,0.48569223,,,10.927038,45.835144,0.20102692
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_10.png,30.082157,0.8540397,0.89396894,0.8033318,0.2326133,,0.07830909,0.084818244,0.55954033,,,9.801235,42.273254,0.07790015
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_11.png,28.003923,0.7996587,0.8563746,0.75079656,0.25528607,,0.10635487,0.11720707,0.475674,,,11.887544,43.12494,0.15003625
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_12.png,33.39483,0.87474763,0.93118364,0.82557845,0.36479878,,0.05841464,0.064043805,0.7042986,,,8.748753,49.522705,0.31819007
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_13.png,30.009922,0.78648865,0.8877422,0.80163175,0.2792658,,0.0749327,0.084157154,0.61234754,,,14.656065,58.02176,0.2817785
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_14.png,30.913687,0.7969861,0.9026257,0.83942556,0.24958776,,0.058832705,0.06750856,0.67781,,,13.863242,65.68945,0.25351614
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_15.png,33.142883,0.86888075,0.9267626,0.839315,0.2611573,,0.056158826,0.060666308,0.68588275,,,8.138443,47.81494,0.30118158
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_16.png,32.219185,0.84571755,0.90772694,0.80850476,0.26746708,,0.06546283,0.06906826,0.6614904,,,9.645452,44.701355,0.30994081
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_17.png,33.676037,0.8711695,0.92061967,0.81958824,0.26617467,,0.058333773,0.061355986,0.6901388,,,8.049315,43.848694,0.28982297
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_18.png,30.479893,0.81551933,0.8562889,0.7087972,0.23590207,,0.083517164,0.0908646,0.55785066,,,9.480801,45.634705,0.24029899
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_19.png,29.85835,0.86764216,0.87993675,0.7603693,0.31525493,,0.08803203,0.095677525,0.5373143,,,9.101065,45.90924,0.15104003
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_20.png,30.44547,0.8729283,0.8698612,0.7426496,0.300735,,0.083115146,0.09029953,0.54776466,,,8.634366,47.552185,0.27337793
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_21.png,31.58854,0.8590757,0.9047476,0.7911846,0.27028796,,0.06736203,0.07240721,0.6264202,,,8.888116,47.50836,0.23990506
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_22.png,28.920177,0.8136595,0.8776976,0.73721355,0.26160905,,0.0839267,0.09413488,0.512989,,,10.31653,48.237366,0.22276138
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_23.png,31.682503,0.8654163,0.92031574,0.84007597,0.28639838,,0.06505975,0.07529001,0.6282426,,,8.875543,48.711487,0.15944579
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_24.png,24.328686,0.5890107,0.7417884,0.6153059,0.24140655,,0.14423199,0.15680443,0.4301198,,,23.567806,89.15225,0.43339285
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_25.png,29.103436,0.7433412,0.86859626,0.77680653,0.27578378,,0.085272044,0.093932666,0.6200402,,,16.549088,76.27612,0.33213946
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_26.png,33.99549,0.87871736,0.943004,0.8799953,0.26379922,,0.05346965,0.057662614,0.683842,,,7.330167,43.02289,0.1503671
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_27.png,30.673992,0.7626786,0.88689446,0.7900494,0.30823174,,0.07720707,0.08613447,0.64633054,,,13.012189,70.39819,0.32566106
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_28.png,34.403316,0.85605645,0.9458033,0.9071654,0.2896874,,0.04235036,0.045940496,0.80283433,,,9.38026,50.07538,0.35744944
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_29.png,31.707462,0.8575228,0.90173477,0.8041558,0.24185741,,0.070670985,0.07839824,0.62475455,,,9.068381,40.67108,0.11036399
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_30.png,31.752079,0.8598916,0.918226,0.8257836,0.29432115,,0.06605964,0.076022536,0.6299681,,,9.443996,40.793762,0.33012778
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_31.png,32.75112,0.88833076,0.91413844,0.8202684,0.30072075,,0.060183626,0.07014415,0.63300323,,,7.4236226,48.315735,0.14205886
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_32.png,34.084705,0.91177315,0.93664974,0.8327329,0.3291209,,0.06018523,0.06828783,0.6478307,,,6.3970304,39.788513,0.31951874
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_33.png,32.5234,0.88809246,0.919766,0.82407224,0.28997213,,0.062855154,0.07191093,0.61809456,,,7.9754124,39.55072,0.09667206
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_34.png,32.310425,0.8660044,0.90622544,0.83362436,0.24969637,,0.06106477,0.06647806,0.6317674,,,7.9043074,47.024475,0.40815213
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_35.png,35.08956,0.87957394,0.941063,0.85635173,0.2741331,,0.05185007,0.054321647,0.76713026,,,7.191403,52.53064,0.3282743
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_36.png,33.23025,0.8430849,0.9262733,0.84829915,0.29044145,,0.05515394,0.059404597,0.7350065,,,9.5629225,56.709534,0.40295663
