dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA,PSNR_norm,GMSD_norm,MSGMSD_norm,BRISQUE_norm
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_0.png,14.238424,0.85894316,0.9326412,0.82759404,0.30618796,0.8412946028489336,0.054060977,0.06017263,0.74719596,0.8480501735745926,0.8526281278917427,5.2306104,45.95868,0.2415177,0.1779803,0.15445994,0.1719218,0.41319805
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_1.png,25.21622,0.91081023,0.93383104,0.82745725,0.2604626,0.8567518099822258,0.051783424,0.05509401,0.77295256,0.980483991752738,0.9055560495834918,6.73245,37.781677,0.17337568,0.31520277,0.14795265,0.15741146,0.08642511
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_2.png,23.22094,0.923572,0.9333853,0.83082694,0.28783756,0.8639578320719614,0.04692249,0.050451335,0.7873656,0.9804459664934272,0.9179970291941117,5.500516,35.667664,0.18866915,0.29026175,0.13406426,0.14414667,0.0019439736
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_3.png,25.894585,0.8363365,0.9292585,0.85883546,0.22505552,0.8322886645766372,0.05534181,0.06097257,0.7916242,0.9845212403659427,0.8308798975047011,8.205364,49.019104,0.37799326,0.3236823,0.15811945,0.17420734,0.53550005
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_4.png,27.370005,0.8635466,0.9161582,0.8068172,0.2869866,0.870138027605059,0.06313785,0.06827358,0.73938626,0.991013419573345,0.8561206743796319,7.990104,36.90924,0.19529927,0.34212506,0.18039386,0.19506738,0.051560424
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_5.png,15.546832,0.8567381,0.89385486,0.81484205,0.2566551,0.8738573719030787,0.066997804,0.07323777,0.72207546,0.9015021881249802,0.8491398692623031,6.5010433,42.499573,0.2625426,0.1943354,0.1914223,0.20925078,0.2749637
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_6.png,15.874108,0.86420876,0.90508527,0.80173004,0.29365507,0.8746440906660187,0.06841841,0.0748965,0.7203035,0.9051834481354909,0.8567368124629287,6.8442965,41.38507,0.31037647,0.19842635,0.19548118,0.21399,0.2304255
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_7.png,18.341448,0.9074475,0.9187748,0.81619126,0.31750202,0.86899151174156,0.055806007,0.06270661,0.7655819,0.9512413454967726,0.9001478607839148,6.125958,41.802917,0.12592466,0.2292681,0.15944573,0.17916176,0.24712367
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_8.png,15.901293,0.85246944,0.8827536,0.78069305,0.2953217,0.8686734033258643,0.07476538,0.08161029,0.68421614,0.8901703406256545,0.8440972053306055,7.0010686,42.87384,0.21446143,0.19876616,0.21361537,0.23317227,0.28992036
SWFD,linear_BP,ms_BP,---,results/SWFD/images_used/linear_BP_slice_9.png,21.613205,0.8974869,0.9108023,0.7917828,0.30765563,0.8717790815550963,0.07604758,0.0819714,0.6944301,0.9720393762293059,0.8898121189901254,7.0138855,43.307312,0.20596902,0.27016506,0.2172788,0.23420401,0.30724296
