dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_0.png,19.25779,0.22750786,0.34702355,0.1934788,0.020698043,,0.2769779,0.270249,0.19030902,,,49.123207,56.829895,0.34013918
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_1.png,19.401176,0.20469408,0.3201016,0.17682606,0.022426356,,0.2779036,0.27323416,0.16915877,,,51.294662,54.24933,0.3199386
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_2.png,16.627071,0.14346595,0.24112745,0.15389518,0.017028932,,0.2738712,0.27467597,0.19178402,,,63.756138,63.605713,0.40763322
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_3.png,19.947987,0.22831035,0.35284102,0.21361019,0.019247577,,0.2577612,0.25284702,0.23117107,,,42.354435,44.99701,0.35766304
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_4.png,18.285482,0.18043761,0.29234725,0.18574853,0.022285212,,0.27802178,0.27647322,0.17748678,,,55.88389,52.481873,0.42150998
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_5.png,19.333,0.21128248,0.33669123,0.19905728,0.026433708,,0.2787549,0.27384672,0.17562622,,,48.810303,54.079285,0.33546436
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_6.png,17.953156,0.17020285,0.28576446,0.18032491,0.020403048,,0.27433354,0.27197224,0.19344361,,,55.614513,61.45813,0.41733897
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_7.png,18.763441,0.17152585,0.29064977,0.17547913,0.023086164,,0.27504778,0.27158695,0.1627615,,,52.836002,56.489075,0.3768128
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_8.png,17.549074,0.13836178,0.24852644,0.1592702,0.019532882,,0.27759495,0.27445135,0.17178093,,,59.92013,60.408325,0.5357
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_9.png,19.266403,0.18912175,0.3142198,0.19189976,0.023712749,,0.27593657,0.27055633,0.17463453,,,49.626076,52.481384,0.34063575
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_10.png,17.797539,0.1435773,0.24743177,0.151526,0.02208017,,0.28144217,0.28051007,0.1418582,,,59.829147,54.114563,0.33614394
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_11.png,16.74226,0.1275887,0.22833027,0.15965313,0.020188516,,0.28141698,0.28067926,0.17020233,,,64.33595,57.335754,0.3932034
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_12.png,18.21196,0.16794968,0.28013438,0.18853955,0.023051105,,0.27783442,0.27405372,0.18377362,,,54.206535,50.609314,0.346915
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_13.png,18.67227,0.17972596,0.28979975,0.1801504,0.026693929,,0.27920502,0.2766684,0.14966099,,,50.979794,43.535217,0.39878547
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_14.png,18.50281,0.17052491,0.27272516,0.17172265,0.02471604,,0.28074428,0.27941266,0.1619908,,,49.762424,43.170715,0.32314974
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_15.png,18.424952,0.16534011,0.2683835,0.17223954,0.019948674,,0.27449334,0.27118045,0.20156822,,,47.934353,42.0672,0.38270116
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_16.png,17.63781,0.14539048,0.24466892,0.1582076,0.018921766,,0.27706122,0.27464893,0.1870225,,,53.99686,46.914856,0.36481977
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_17.png,16.915821,0.13003328,0.22553132,0.15215805,0.020697812,,0.28074554,0.27927718,0.1690097,,,60.03548,54.767395,0.40616345
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_18.png,17.895054,0.14856271,0.24172762,0.15552627,0.028419342,,0.27853018,0.27889225,0.14942212,,,52.900692,44.449036,0.31372666
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_19.png,17.321266,0.13895662,0.22903414,0.14999513,0.029111411,,0.28262043,0.28304628,0.14140119,,,56.784344,44.22467,0.35323575
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_20.png,19.126171,0.20921174,0.3115937,0.19470078,0.028884,,0.2736533,0.27198744,0.19462074,,,41.693478,39.965515,0.29819173
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_21.png,17.972414,0.15235627,0.2498461,0.16036634,0.025196355,,0.27985337,0.27899194,0.16356525,,,49.173515,41.52179,0.38161153
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_22.png,19.339987,0.18511313,0.29718205,0.17959785,0.031829655,,0.2810543,0.2761387,0.15737717,,,45.720757,43.81122,0.2908361
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_23.png,17.801922,0.1410029,0.23785402,0.1480213,0.028850757,,0.2799831,0.27947998,0.13732965,,,55.236294,50.184265,0.36010262
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_24.png,17.198399,0.124232665,0.2110885,0.13543962,0.029459791,,0.28187177,0.2816463,0.12307683,,,60.098446,58.09601,0.4542263
