dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA,PSNR_norm,GMSD_norm,MSGMSD_norm,BRISQUE_norm
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_0.png,19.125172,0.35992846,0.49403268,0.27575532,0.02581139,0.7397081139482903,0.2616529,0.25038952,0.271937,0.9490432196343206,0.346434669097569,33.574642,45.684875,0.28186867,0.23906465,0.7475797,0.7153986,0.7720153
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_1.png,16.29617,0.34555808,0.4918232,0.2717106,0.027476994,0.7378943719368748,0.25742638,0.24563046,0.2748451,0.9005309322035004,0.3286640039935017,32.09679,40.22943,0.30991167,0.20370212,0.735504,0.7018013,0.62886304
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_2.png,16.066319,0.23765974,0.35415766,0.20830543,0.020530645,0.7391364328014401,0.26270437,0.2602761,0.24409632,0.9008614840530347,0.22669019273567484,43.19905,46.24518,0.3925856,0.20082898,0.75058395,0.743646,0.7867178
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_3.png,15.036506,0.32832018,0.4768537,0.27598837,0.0211291,0.7178551716591856,0.22644602,0.21910857,0.3246571,0.8205254013553921,0.31169570070801444,28.361595,38.235046,0.35491434,0.18795632,0.64698863,0.6260245,0.5765298
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_4.png,17.339489,0.29013,0.42919654,0.25819936,0.026649252,0.7323480114291809,0.26351568,0.25655648,0.24864636,0.9225963557336514,0.2783638691046239,37.700386,42.457947,0.4253789,0.21674362,0.752902,0.7330185,0.68733984
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_5.png,14.675274,0.301151,0.466492,0.27349943,0.029123925,0.7255963366607522,0.25811395,0.24865103,0.26216874,0.8075668183966456,0.28993303995553,33.465633,45.183044,0.32012203,0.18344092,0.7374684,0.7104315,0.7588471
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_6.png,13.458452,0.2828732,0.43422478,0.2565736,0.023460787,0.7233453050573936,0.2499476,0.24323852,0.29146948,0.8080263350491351,0.2717209527616918,33.898968,45.191223,0.3071059,0.16823065,0.714136,0.6949672,0.75906175
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_7.png,16.105062,0.28937832,0.43852448,0.25301427,0.02819515,0.7163852244834209,0.25982675,0.25093415,0.24208164,0.8929187001387708,0.27580114310678233,34.10853,39.66913,0.3422503,0.20131329,0.74236214,0.7169547,0.61416054
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_8.png,15.822774,0.21570446,0.35176265,0.20913793,0.023039652,0.7033523390840709,0.268076,0.259929,0.22628134,0.8744935944066481,0.20444880684350514,41.476784,41.932556,0.5174714,0.19778468,0.7659314,0.7426543,0.67355347
mice,sparse4_recon_all,full_recon_all,---,results/mice/images_used/sparse4_recon_all_slice_9.png,17.093538,0.28507462,0.43480918,0.25362954,0.027440727,0.699296149171501,0.26105982,0.25033173,0.2443479,0.8951247722269693,0.2697589688281286,34.724323,39.861877,0.25112402,0.21366923,0.7458852,0.7152335,0.6192183
