dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_060436/PA2.png,10.756215,0.12449661,0.28600416,0.15825969,0.020388525,,0.24756928,0.25187176,0.2549654,,,28.645412,28.66986,0.22070275
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_060904/PA2.png,80.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.99999845,,,35.15707,28.131775,0.29940936
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_061143/PA2.png,12.758546,0.10362455,0.32273328,0.16146165,0.021380318,,0.27930996,0.27241334,0.17812862,,,26.039944,30.448181,0.24035907
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_060808/PA2.png,10.446991,0.112886935,0.28560933,0.13612445,0.018499842,,0.26815736,0.2675678,0.21144943,,,28.668814,28.082825,0.2437349
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_060720/PA2.png,10.451275,0.11543267,0.2933917,0.17389823,0.01966911,,0.26046303,0.2624514,0.22691314,,,28.776623,27.987244,0.2087251
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_061548/PA2.png,11.169634,0.16110866,0.3328956,0.23438612,0.02637417,,0.22962792,0.23961161,0.27621877,,,28.620642,31.193298,0.26886532
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_061812/PA2.png,10.650262,0.12832358,0.29912063,0.16718835,0.021339482,,0.26439866,0.26427254,0.23201239,,,28.673117,29.539734,0.24220826
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_061456/PA2.png,10.507875,0.11137282,0.28689012,0.14436795,0.021363562,,0.2805505,0.27553472,0.20173652,,,28.818438,27.503113,0.24678427
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_061906/PA2.png,10.689288,0.1262984,0.29650226,0.16383134,0.019288268,,0.2613124,0.26499298,0.22421265,,,28.883793,25.652039,0.26581162
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_060344/PA2.png,11.526152,0.14822607,0.26203746,0.15241642,0.01932558,,0.21305388,0.22640243,0.3096507,,,29.410177,27.841125,0.22940958
pa_experiment_data,PA2,PA1,---,data/pa_experiment_data/Training/KneeSlice1/Rf_071119_060536/PA2.png,10.606217,0.12973745,0.3207893,0.20528477,0.025891632,,0.2627047,0.26062828,0.23695818,,,28.709232,28.571106,0.20943005
