dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_0.png,18.861855,0.21728317,0.48444873,0.2496337,0.024045125,,0.238641,0.23559456,0.19565825,,,84.43875,81.229675,0.74686754
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_1.png,18.521053,0.035069928,0.36545074,0.19773537,0.05942531,,0.25630614,0.25536305,0.12567794,,,80.07165,74.44208,0.7394452
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_2.png,16.58461,0.03808315,0.32449332,0.1870718,0.033505704,,0.2529045,0.2535795,0.119836606,,,122.20462,75.05243,0.72785985
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_3.png,18.225517,0.05347168,0.37866846,0.21024792,0.03848804,,0.2534495,0.25267202,0.13567263,,,90.82207,81.0246,0.693287
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_4.png,17.473787,0.061611857,0.364998,0.20515054,0.029096527,,0.25363013,0.25243568,0.13676399,,,107.47826,74.732605,0.6805756
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_5.png,17.370346,0.041775323,0.34679532,0.19953057,0.034846053,,0.25452045,0.2541344,0.12469851,,,106.72856,77.23456,0.7372233
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_6.png,19.101852,0.020899072,0.36988956,0.21849681,0.12444611,,0.2596679,0.25677833,0.10863771,,,77.536705,76.46454,0.78866917
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_7.png,16.23262,0.031568177,0.31553957,0.18944149,0.03484291,,0.24948905,0.24882904,0.11734751,,,131.23785,76.190125,0.71938443
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_8.png,18.053669,0.013336233,0.34212947,0.21141295,0.14329036,,0.26020533,0.2548567,0.09630386,,,89.95127,82.36835,0.7252657
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_9.png,17.993322,0.018099373,0.34424093,0.21010952,0.08883287,,0.25705382,0.2523704,0.1041611,,,94.18811,81.74774,0.7102707
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_10.png,17.378448,0.070515424,0.40869328,0.22657458,0.026268415,,0.24290162,0.24224252,0.16441743,,,97.29857,78.960144,0.7898598
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_11.png,17.505344,0.015216713,0.33296436,0.20635158,0.10215671,,0.25900018,0.25314453,0.09833335,,,102.106064,80.78046,0.69334054
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_12.png,16.794472,0.01575541,0.32556647,0.20194697,0.057134453,,0.2550651,0.24827172,0.10219996,,,113.15022,82.65546,0.6959595
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_13.png,18.438211,0.012878871,0.35210326,0.21218596,0.18106498,,0.26170313,0.2556271,0.09643444,,,83.7014,83.2077,0.74860924
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_14.png,18.238178,0.1528294,0.45465058,0.23319612,0.022728631,,0.23829608,0.23928256,0.18711081,,,86.45664,81.755554,0.76555604
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_15.png,18.233217,0.1551391,0.45773557,0.24578346,0.022175577,,0.2384812,0.2370642,0.18947142,,,89.178406,82.803894,0.7462056
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_16.png,17.112955,0.100148365,0.384815,0.21123129,0.024039602,,0.24688828,0.245622,0.15897621,,,113.61373,81.35028,0.7451502
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_17.png,17.103699,0.046169274,0.35182384,0.19340624,0.03324162,,0.25098523,0.2526561,0.13191065,,,107.11184,81.50311,0.7186499
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_18.png,17.613047,0.020195067,0.32552063,0.1863899,0.07036556,,0.26288527,0.26091534,0.099565014,,,96.104546,75.01337,0.669942
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_19.png,17.902382,0.033201598,0.3455762,0.19605924,0.050960507,,0.25822213,0.25684565,0.118571326,,,93.57055,80.0661,0.7553173
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_20.png,19.271194,0.2921182,0.47670895,0.22337192,0.023380948,,0.25189203,0.25196552,0.18017109,,,84.03929,78.27167,0.7358475
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_21.png,20.123161,0.33375692,0.4874796,0.23244493,0.028269244,,0.26157135,0.26177216,0.16921337,,,73.23801,74.121765,0.7500126
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_22.png,20.046906,0.3425599,0.48664296,0.21424608,0.028523434,,0.2610116,0.25963235,0.1670752,,,79.63284,80.780945,0.8096547
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_23.png,19.388607,0.28623524,0.50135905,0.23867443,0.023902543,,0.24733913,0.24655834,0.19196606,,,71.89551,77.48163,0.76414645
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_24.png,19.980892,0.3212119,0.49166808,0.216692,0.027718626,,0.2606706,0.2582258,0.17419937,,,69.283844,72.88397,0.7113279
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_25.png,19.332733,0.31799456,0.45108053,0.2069341,0.02593244,,0.26487082,0.26397502,0.15610665,,,95.011406,81.93036,0.8026934
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_26.png,20.152863,0.322409,0.46839938,0.21508554,0.029842937,,0.26621273,0.2622642,0.15886861,,,78.85892,78.363464,0.7990013
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_27.png,21.638931,0.42937952,0.5915784,0.28676444,0.034606025,,0.23950247,0.2359665,0.20470105,,,58.592228,72.161804,0.708087
