dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA,PSNR_norm,GMSD_norm,MSGMSD_norm,BRISQUE_norm
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_0.png,13.266893,0.48670334,0.6732245,0.3867902,0.027709495,0.7812341069806932,0.19512165,0.18986875,0.35360512,0.7427296150303897,0.2612282641101623,55.476776,66.75995,0.70770186,0.16583617,0.5574904,0.54248214,0.56346506
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_1.png,12.690699,0.42750642,0.6015535,0.3047425,0.032103594,0.7701174511396677,0.21829544,0.21630645,0.29304874,0.6758521691669005,0.23403548105475533,58.071674,64.18964,0.7719572,0.15863374,0.6237013,0.61801845,0.46828553
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_2.png,12.113189,0.30798528,0.49542296,0.26398695,0.025885174,0.7691786910452504,0.2349442,0.23642252,0.24510735,0.6798966148142869,0.13175526571157065,97.441696,74.54608,0.73267215,0.15141486,0.6712691,0.67549294,0.8517882
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_3.png,14.689783,0.3949672,0.5633848,0.29549485,0.029677786,0.754065176801234,0.23498276,0.23241471,0.2539867,0.7891400438313537,0.1882045507466583,72.67726,72.91034,0.75369936,0.18362229,0.6713793,0.66404206,0.79121614
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_4.png,13.575182,0.3358532,0.51639926,0.2728333,0.026756115,0.7485201826896033,0.24309315,0.23940748,0.23887652,0.7470388200164195,0.1416857882291076,88.90836,71.07391,0.7676489,0.16968977,0.6945519,0.68402135,0.72321266
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_5.png,13.824315,0.38268727,0.5526452,0.29227698,0.026964521,0.7404334391196773,0.23185349,0.23036933,0.26554912,0.7920446159863901,0.16912561733360054,82.20497,71.56952,0.77680606,0.17280394,0.6624385,0.6581981,0.7415651
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_6.png,15.985817,0.437719,0.57870066,0.2953265,0.033991385,0.7699624668976227,0.23657887,0.23473115,0.25352293,0.837816079681569,0.22469302323581808,63.891552,65.1535,0.7594674,0.19982271,0.6759396,0.67066044,0.5039779
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_7.png,11.383809,0.2790872,0.48709497,0.27120158,0.024440965,0.7322472582172384,0.22827351,0.22968689,0.2507009,0.6112110253045543,0.10677980059884833,107.88226,76.92206,0.6754496,0.14229761,0.65221006,0.6562483,0.9397715
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_8.png,14.788658,0.41452876,0.58296067,0.3263804,0.026588567,0.7687273890552951,0.225982,0.2238541,0.28270078,0.8044322055173081,0.20335177029619123,70.38962,70.99579,0.7391506,0.18485823,0.64566284,0.6395831,0.7203197
phantom,BP_phantom_8,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_8_slice_9.png,14.498796,0.4257153,0.59601223,0.32929757,0.028124014,0.7747344340524371,0.21776551,0.21551123,0.2949154,0.8206206322135148,0.2021567922355296,70.22081,72.92206,0.73233503,0.18123496,0.6221872,0.6157464,0.7916501
