dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_0.png,17.225697,0.2221179,0.2675943,0.22548313,0.06774842,,0.28420976,0.29082265,0.14054742,,,22.94724,59.98224,0.17929651
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_1.png,18.520882,0.2825387,0.27737233,0.21001035,0.06922261,,0.26685023,0.27346772,0.17747314,,,16.385412,62.854675,0.16960497
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_2.png,17.071627,0.21335669,0.26055232,0.21926892,0.08068806,,0.28814378,0.29332346,0.1354387,,,24.635088,56.605896,0.28870362
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_3.png,17.321533,0.18374792,0.2506527,0.21020707,0.045911837,,0.2864264,0.2900636,0.15544282,,,35.660957,59.39972,0.15312202
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_4.png,16.686668,0.15054627,0.2192507,0.18835393,0.039588533,,0.2875764,0.29174,0.14646755,,,38.96405,64.13623,0.17319095
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_5.png,17.736286,0.18611497,0.26378682,0.21960868,0.04376183,,0.28462744,0.2887375,0.17119424,,,31.543404,55.070374,0.24749689
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_6.png,17.845182,0.18383746,0.25927314,0.20392622,0.039751265,,0.27972573,0.2837644,0.17410189,,,32.668457,61.758484,0.24212687
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_7.png,16.731304,0.14087725,0.19408534,0.15515414,0.03596962,,0.28436217,0.28771263,0.14298819,,,38.341305,65.67102,0.2271335
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_8.png,17.355396,0.15950714,0.21679328,0.16916867,0.038829323,,0.28480554,0.2872055,0.15286182,,,35.26619,59.303955,0.26218623
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_9.png,17.098396,0.15282187,0.21723694,0.17271957,0.046334434,,0.29027295,0.29324836,0.12088717,,,37.718773,63.71881,0.27381212
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_10.png,16.453115,0.14117482,0.19904281,0.16441183,0.03282045,,0.28283197,0.2880702,0.16014144,,,40.17357,61.53894,0.3057615
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_11.png,16.8916,0.15811495,0.21383964,0.17527427,0.036308624,,0.28614688,0.2905702,0.15449777,,,38.36614,67.76279,0.25112328
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_12.png,18.754503,0.21355999,0.25478053,0.17124677,0.088631995,,0.28865805,0.2917379,0.09960039,,,28.914988,56.98651,0.2070769
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_13.png,17.997395,0.1916815,0.23290642,0.17791753,0.06388127,,0.2924255,0.29644606,0.10665178,,,29.397911,57.629944,0.16894543
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_14.png,17.204292,0.15110321,0.20277523,0.15734617,0.06364062,,0.29342926,0.29590794,0.09894567,,,32.464504,57.85742,0.17722772
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_15.png,16.909298,0.14697908,0.20716818,0.15739606,0.03693252,,0.2885121,0.29263148,0.14343914,,,39.09065,65.899475,0.23508148
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_16.png,18.16446,0.17794883,0.24914601,0.16956952,0.04846803,,0.29146105,0.29250914,0.12271841,,,37.0662,68.06033,0.26706007
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_17.png,16.89513,0.15197587,0.21760032,0.18199593,0.04050004,,0.28632706,0.29118854,0.14184178,,,38.195164,61.273987,0.25934613
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_18.png,17.866196,0.21100724,0.28816208,0.21433327,0.0546549,,0.29497945,0.2956659,0.15052359,,,28.324106,62.62622,0.20892647
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_19.png,16.64371,0.15644196,0.224902,0.18192717,0.060203,,0.29617438,0.29805607,0.109277226,,,34.08458,57.213196,0.2245305
v_phantom,v_phantom_8,v_phantom_gt,---,results/v_phantom/images_used/v_phantom_8_slice_20.png,16.994751,0.16471936,0.24167961,0.18764798,0.057732876,,0.2964287,0.29826328,0.12403105,,,32.993637,56.22351,0.23524956
