Metric,SignificantCount,NormMeanDiff,CompositeScore
S3IM,84,0.2367411087696063,19.88625313664693
SSIM,83,0.23470416122910154,19.48044538201543
IWSSIM,79,0.2409001149572029,19.03110908161903
GMSD,82,0.19633218432306876,16.09923911449164
MSGMSD,83,0.1907818061536182,15.834889910750311
HAARPSI,81,0.19419116141130727,15.729484074315888
MSSSIM,81,0.18570654274579115,15.042229962409083
VIF,83,0.15902859314185028,13.199373230773572
UQI,79,0.13449115905709655,10.624801565510626
FSIM,74,0.09986208942101951,7.389794617155444
PSNR,77,0.09167354578582693,7.058863025508673
BRISQUE,40,0.052311062495136784,2.0924424998054714
CLIP-IQA,24,0.057480546978553315,1.3795331274852796
