Feature,Coefficient,Intercept,R2_Score,Spearman
MSSSIM,5.185512,-4.155194,0.7179852003989091,0.8299877392351741
SSIM MSSSIM,3.7233927,-4.155194,0.7179852003989091,0.8299877392351741
IWSSIM^2,-3.2781875,-4.155194,0.7179852003989091,0.8299877392351741
GMSD,2.802977,-4.155194,0.7179852003989091,0.8299877392351741
GMSD^2,2.439712,-4.155194,0.7179852003989091,0.8299877392351741
MSSSIM GMSD,2.372332,-4.155194,0.7179852003989091,0.8299877392351741
SSIM GMSD,2.2652943,-4.155194,0.7179852003989091,0.8299877392351741
SSIM,2.010369,-4.155194,0.7179852003989091,0.8299877392351741
MSSSIM IWSSIM,-1.7735308,-4.155194,0.7179852003989091,0.8299877392351741
HAARPSI,-1.6748515,-4.155194,0.7179852003989091,0.8299877392351741
SSIM HAARPSI,-1.3381126,-4.155194,0.7179852003989091,0.8299877392351741
IWSSIM,0.8267206,-4.155194,0.7179852003989091,0.8299877392351741
GMSD HAARPSI,-0.8011696,-4.155194,0.7179852003989091,0.8299877392351741
SSIM^2,0.6991467,-4.155194,0.7179852003989091,0.8299877392351741
IWSSIM VIF,-0.6532139,-4.155194,0.7179852003989091,0.8299877392351741
IWSSIM HAARPSI,-0.6518037,-4.155194,0.7179852003989091,0.8299877392351741
MSSSIM^2,-0.5900461,-4.155194,0.7179852003989091,0.8299877392351741
PSNR GMSD,-0.41960198,-4.155194,0.7179852003989091,0.8299877392351741
MSSSIM HAARPSI,-0.38227576,-4.155194,0.7179852003989091,0.8299877392351741
MSSSIM VIF,-0.3785175,-4.155194,0.7179852003989091,0.8299877392351741
PSNR IWSSIM,0.28132626,-4.155194,0.7179852003989091,0.8299877392351741
PSNR,0.27075937,-4.155194,0.7179852003989091,0.8299877392351741
PSNR HAARPSI,0.26053268,-4.155194,0.7179852003989091,0.8299877392351741
IWSSIM GMSD,0.25553256,-4.155194,0.7179852003989091,0.8299877392351741
SSIM IWSSIM,0.25053257,-4.155194,0.7179852003989091,0.8299877392351741
PSNR SSIM,-0.23022869,-4.155194,0.7179852003989091,0.8299877392351741
HAARPSI^2,-0.21661216,-4.155194,0.7179852003989091,0.8299877392351741
PSNR MSSSIM,-0.20192923,-4.155194,0.7179852003989091,0.8299877392351741
VIF^2,-0.1535903,-4.155194,0.7179852003989091,0.8299877392351741
PSNR VIF,0.096860036,-4.155194,0.7179852003989091,0.8299877392351741
VIF HAARPSI,-0.0826794,-4.155194,0.7179852003989091,0.8299877392351741
VIF,0.08070096,-4.155194,0.7179852003989091,0.8299877392351741
VIF GMSD,0.048899814,-4.155194,0.7179852003989091,0.8299877392351741
SSIM VIF,0.04366427,-4.155194,0.7179852003989091,0.8299877392351741
PSNR^2,-0.0042908,-4.155194,0.7179852003989091,0.8299877392351741
