dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image0_0.png,21.357813,0.80778646,0.88251704,0.6636576,0.24716258,,0.14308111,0.14631958,0.31091446,,,5.50704,75.4162,0.15053336
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image1_0.png,21.491539,0.81405336,0.8884188,0.6717017,0.24733798,,0.13964443,0.14267172,0.31842306,,,5.4492364,76.80731,0.16574723
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image10_0.png,24.30309,0.7865634,0.91152614,0.73508203,0.22898582,,0.12406635,0.12749638,0.3552225,,,6.202851,79.54706,0.19623289
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image100_0.png,22.151924,0.94805706,0.92995596,0.71371156,0.22778416,,0.061186552,0.06490583,0.37611207,,,4.369409,112.44403,0.4605386
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image101_0.png,22.233837,0.94742376,0.93211025,0.7262805,0.23573428,,0.061925728,0.06552327,0.37764922,,,4.4530444,106.610535,0.4713872
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image102_0.png,22.188457,0.9392721,0.93036985,0.74082756,0.23251595,,0.061218463,0.065116,0.38655424,,,4.394354,105.24628,0.4713245
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image103_0.png,22.27772,0.94325376,0.93227625,0.74463344,0.22263695,,0.061449572,0.06504161,0.38666135,,,4.435554,106.612976,0.47139817
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image104_0.png,22.485685,0.93236494,0.93725544,0.73749393,0.19832459,,0.063500136,0.06644765,0.37162054,,,4.667499,111.57001,0.48785737
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image105_0.png,26.185312,0.9055207,0.9563578,0.87567353,0.3855256,,0.06950708,0.07412907,0.5107365,,,5.650336,83.4328,0.3101795
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image106_0.png,26.17601,0.91270065,0.9565385,0.87592125,0.3704934,,0.06828851,0.07285404,0.51666445,,,5.606412,84.348816,0.27167496
