dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA,PSNR_norm,GMSD_norm,MSGMSD_norm,BRISQUE_norm
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image0_0.png,21.357813,0.80778646,0.88251704,0.6636576,0.24716258,0.8205816120772305,0.14308111,0.14631958,0.31091446,0.6282474778678234,0.7955228587777162,5.50704,75.4162,0.15053336,0.26697266,0.4088032,0.41805595,0.3923359
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image1_0.png,21.491539,0.81405336,0.8884188,0.6717017,0.24733798,0.8233861017627906,0.13964443,0.14267172,0.31842306,0.6421698139455956,0.8040436077526661,5.4492364,76.80731,0.16574723,0.26864424,0.3989841,0.40763348,0.415133
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image10_0.png,24.30309,0.7865634,0.91152614,0.73508203,0.22898582,0.8174576633040352,0.12406635,0.12749638,0.3552225,0.6155790803090281,0.7820549587422423,6.202851,79.54706,0.19623289,0.3037886,0.3544753,0.36427537,0.46003103
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image100_0.png,22.151924,0.94805706,0.92995596,0.71371156,0.22778416,0.7046424269152217,0.061186552,0.06490583,0.37611207,0.7282169169198118,0.9477049166257859,4.369409,112.44403,0.4605386,0.27689904,0.17481872,0.18544523,0.9991358
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image101_0.png,22.233837,0.94742376,0.93211025,0.7262805,0.23573428,0.7146289768489298,0.061925728,0.06552327,0.37764922,0.7563780918263413,0.9480623641024828,4.4530444,106.610535,0.4713872,0.27792296,0.17693065,0.18720934,0.9035384
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image102_0.png,22.188457,0.9392721,0.93036985,0.74082756,0.23251595,0.7326577643610189,0.061218463,0.065116,0.38655424,0.748240734350069,0.9395796934063437,4.394354,105.24628,0.4713245,0.27735573,0.17490989,0.18604572,0.88118136
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image103_0.png,22.27772,0.94325376,0.93227625,0.74463344,0.22263695,0.7229428951477056,0.061449572,0.06504161,0.38666135,0.7639083020375513,0.9411339007441115,4.435554,106.612976,0.47139817,0.2784715,0.1755702,0.18583317,0.9035784
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image104_0.png,22.485685,0.93236494,0.93725544,0.73749393,0.19832459,0.679005460785389,0.063500136,0.06644765,0.37162054,0.5731794199756562,0.9318449672233075,4.667499,111.57001,0.48785737,0.28107107,0.18142897,0.18985043,0.9848126
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image105_0.png,26.185312,0.9055207,0.9563578,0.87567353,0.3855256,0.8672603466490819,0.06950708,0.07412907,0.5107365,0.7419579388164149,0.8995483310797715,5.650336,83.4328,0.3101795,0.3273164,0.19859165,0.21179734,0.5237093
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image106_0.png,26.17601,0.91270065,0.9565385,0.87592125,0.3704934,0.8655324181365665,0.06828851,0.07285404,0.51666445,0.7637186547636405,0.9080062362634994,5.606412,84.348816,0.27167496,0.3272001,0.19511004,0.20815441,0.53872067
